Company Name,Industry,Location
J.P. Morgan,Investment Bank,New York City
Vanguard,Financial services,Malvern
'Comcast Corporation',Telecommunications,Philadelphia
Canon Inc,Other,Tokyo
'foodpanda',Food Delivery Service,Bangalore
Walmart,Retail,Bentonville
BigBasket,Food & Staples Retail,Bangalore
Avis,Car rental,Burr Ridge
MARS INC,Food Products,"MUNSTER,IN"
Metro Bank,Banks,London
Merck,Pharmaceuticals,Kenilworth
Acxiom,Marketing and Advertising,Conway
Ferrari,Automotive,Maranello
Nvidia,Semiconductors & Semiconductor Equipment,Santa Clara
Aetna,Health care providers and services,Hartford
"""ASML Holding N.V.""",Semiconductor Equipment,Veldhoven
Royal Bank of Scotland,Banking,Edinburgh
Nokia,Communications Equipment,Espoo
Jim's Formal Wear,Men's clothing stores,West Allis
Cognizant Technology Solutions,Information Technology Services,Teaneck
Apple Inc.,Manufacturing,Cupertino
Western Union,financial services,Denver
Bahrs Scaffolding Co.,Construction (non-residential buildings),Chicago
LAM Research,Semiconductors,Fremont
Tata Consultancy Services,Information Technology and Services,Mumbai
ON Semiconductor,Semiconductors,Phoenix
Abhijeet Group,Manufacturing,Mumbai
RBC,Banking,Toronto
Mitsubishi Electric,Electrical and electronic products,Tokyo
JPMorgan Chase,Finance,New York
GE,Other Electronic Equipment,Schenectady
One97 Communications Limited,Information Technology and Software,Mumbai
Dell Inc,Computer hardware,Round Rock
Coca-Cola,Beverages,Atlanta
INFOSYS,Information Technology,Bengaluru
Cadence Design Systems,Semiconductors,San Jose
PepsiCo,Food Industry,Purchase
United Parcel Service,Transportation and Warehousing,Atlanta
BHP Billiton,Non-metallic Mineral Mining and Quarrying,Perth
JPMorgan Chase,Banking,New York
"Woodward, Inc.",Aerospace & Defense,Fort Collins
Nestle,Food Products,VEVEY
Bayer,Pharmaceuticals,Berlin
Adobe,computer software,San Jose
Airbnb,Web portals,San Francisco
Hindustan Petroleum Corporation Limited,Petroleum Refining,Mumbai
Tata Consultancy Services,Information Technology,Mumbai
Audi,Vehicle Manufacturing,Ingolstadt
Samsung SDS,Information technology,Seoul
Coca-Cola,Beverages,Atlanta
Walmart,Retail,Bentonville
Gillette,Consumer Goods,Boston
Nokia,Manufacturing,Tampere
Canon Inc.,Manufacturing,Tokyo
Samsung Electronics,Manufacturing,Seoul
"AGE OF AMERICA, INC.",Insurance Carriers & Related Activities,Los Angeles
LowerMyBills,Insurance,San Diego
Tesla,Automotive Manufacturing,Palo Alto
Mitsubishi Electric Corp,Industrial Machinery & Components,Tokyo
Scania,Automobiles,Södertälje
Juniper Networks,Computer software,Sunnyvale
Palo Alto Networks,Computer Software,Santa Clara
ABM Industries Inc,Industrial Machinery,New York
Masimo,Medical Devices,Irvine
Walmart,Retail industry,Bentonville
ABC Consulting,Management consulting services,New York
Volvo,Automotive,Gothenburg
GE Appliances,Appliances,Louisville
Tesla,Automobile,Palo Alto
ConocoPhillips,Oil & Gas,Houston
Chase,Banks and Credit Unions,Chicago
Hermes,Retail (Non-food),London
Colgate-Palmolive,Consumer Goods,New York
Bayer,Agriculture,Leverkusen
AT&T,Telecommunications,Dallas
Shell,Oil,Houston
Abercrombie & Fitch Co,Apparel,New Albany
Toyota Motor,Automotive Manufacturing,Toyota City
Royal Bank of Canada,Banking,Toronto
Msf Railway,Transportation and Logistics,Frederick
Berkshire Hathaway Inc,Diversified Investment,Omaha
Johnson,Industrial Machinery & Components,Indianapolis
Riverbed Technology,Computer Software,Milpitas
MERCK,Medical Equipment,Whitehouse Station
Galaxy,Computer Software,Chicago
Walmart,Retail,Bentonville
Huawei,Computer Software,Shenzhen
Dell Technologies,Computer hardware & software,Round Rock
Cigna,Healthcare,Bloomfield
Levi Strauss & Co,Apparel,San Francisco
Vodafone,Telecommunications,Düsseldorf
Globalfoundries,Semiconductors,Singapore
PepsiCo,Snack Food,Purchase
Hershey's,Manufacturing,Hershey
Tata Motors,Automobile,Mumbai
"YUM! Brands, Inc.",Restaurants,Louisville
Abercrombie & Fitch Co,Apparel & Accessories,New Albany
Samsung,Consumer Electronics,Suwon
LG,Computer Software,Seoul
AAPL,Computer Software,Cupertino
Hewlett Packard Enterprise,Computer Hardware,Houston
Tata Consultancy Services,Information Technology and Services,Mumbai
Tesla,Motor Vehicle Manufacturing,Palo Alto
FedEx,Shipping & Logistics,Memphis
GOOGLE,Internet software & services,Mountain View
Coca-Cola,Soft Drinks,Atlanta
DuckDuckGo,Internet software & services,Palo Alto
Coca-Cola Company,Food & Staples Retailing,Atlanta
FedEx,Air Transport,Memphis
